LastSale,MarketCap,logMarketCap,Revenue_M,netIncome_M,profitMargin,lastFiscalYearGrowth,employees,revenuePerEmployee,marketCapToRevenue,CEOAge,PresidentAge,companyAgeAtIPO,yearDifference,YearFounded,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,Year,Month,Day,dayOfWeek,Sector,Industry,CEOGender,PresidentGender,USACompany,CEOInChargeDuringIPO,presidentInChargeDuringIPO,FiscalMonth,employeesGrouped,FoundingDateGrouped,ipoDay0Return,firstWeekReturn,firstMonthReturn,ipoDay0Volatility,avgFirstWeekVolume,closeDay0,openDay0,highDay0,lowDay0,volumeDay0,closeDay1,closeDay2,closeDay3,closeDay4,volumeDay1,volumeDay2,volumeDay3,volumeDay4,Profitable
1.06,2.32444803E7,16.9616,,-8.08,,,4.0,,,65,65,4,4,2009,0.533464011,1.270687547,1.767783041,2.052704502,2013,2,22,4,Health Care,Major Pharmaceuticals,unknown,unknown,No,No,No,Jun,0 - 100,2001 - 2010,0.1333,0.2941,-0.1765,0.1333,9452.6,6.8,6.0,6.8,6.0,10006,6.84,6.96,13.6,8.8,1800,32550,1912,995,0
1.07,3.547924832E7,17.3845,145.5,-8.43,-0.0579,0.48,215.0,676744.19,0.24,46,46,,-7,2008,-1.423222668,-1.871826285,-2.015592481,-2.47837261,2001,1,2,1,Energy,Integrated oil Companies,male,male,Yes,No,No,Dec,101 - 500,2001 - 2010,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,0,9.0,9.0,9.0,9.0,0,0,0,0,0
1.1,6.60432718E7,18.0058,3.12,-10.5,-3.3654,0.18,39.0,80000.0,21.17,53,53,7,7,1993,-1.257510356,-1.536841515,-0.713326069,0.13505596,2000,9,29,4,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,female,female,Yes,No,No,Dec,0 - 100,1951 - 2000,0.28,-0.0078,-0.0703,0.2026,135726.0,320.0,250.0,371.25,320.6,514650,356.88,318.75,325.0,317.5,81110,26390,30000,26480,0
1.14,1.41765099E7,16.4671,11.45,3.62,0.3162,0.57,24.0,477083.33,1.24,52,,7,7,2001,-0.731971308,0.773194857,0.058441569,-0.724144416,2008,5,21,2,Transportation,Oil Refining/Marketing,unknown,unknown,Yes,Yes,,Jun,0 - 100,2001 - 2010,0.3814,0.201,-0.133,0.1383,868104.8,13.98,10.12,16.4,15.0,7500,21.45,18.26,18.26,16.79,19100,3246346,0,1067578,0
1.19,2.725411185E7,17.1207,1.25,-10.26,-8.208,,9.0,138888.89,21.8,54,67,13,13,1998,-0.46286048,-1.337819792,-0.770780354,0.652474531,2011,6,22,2,Health Care,Major Pharmaceuticals,male,unknown,Yes,sameYear,sameYear,Mar,0 - 100,1951 - 2000,0.0612,0.0,0.0,0.0612,94.2,52.0,49.0,52.0,49.0,125,49.6,49.6,51.2,52.0,173,25,123,25,1
1.22,6909981.18,15.7485,1.52,-11.84,-7.7895,3.45,19.0,80000.0,4.55,54,64,5,5,2008,1.039196167,1.613120558,1.7388922,1.924562221,2013,7,24,2,Health Care,Major Pharmaceuticals,male,female,Yes,Yes,No,Dec,0 - 100,2001 - 2010,0.061,-0.0219,0.0522,0.0211,27235.0,94.4523,89.024,100.5715,98.6962,112073,91.6888,91.5901,90.4057,92.3797,17749,3888,513,1952,0
1.2362,1861108.99,14.4367,1.68,-9.15,-5.4464,,27.0,62222.22,1.11,54,54,16,16,1999,0.173426929,-0.064559349,0.23961738,0.835616727,2015,8,5,2,Health Care,Medical/Dental Instruments,male,male,No,No,No,Dec,0 - 100,1951 - 2000,0.0,0.0177,-0.1593,0.0,24.2,45.2,45.2,45.2,45.2,21,46.0,46.0,46.0,46.0,100,0,0,0,0
1.25,6.3171155E7,17.9614,1400.0,-20.9,-0.0149,0.01,24800.0,56451.61,0.05,46,46,1,1,2000,-0.635429986,0.814263446,-0.07245948,-0.73653461,2001,12,17,0,Health Care,Hospital/Nursing Management,male,male,Yes,No,No,Dec,>10000,1951 - 2000,0.0,-0.1467,-0.02,0.0,4640.0,7.5,7.5,8.25,8.25,1700,6.15,6.15,6.12,6.4,17300,0,200,4000,0
1.2699,5.947885871E7,17.9011,257000.0,-25.06,-1.0E-4,,19.0,1.352631578947E10,0.0,57,57,15,15,1999,0.832628784,0.96787617,1.431897439,1.491085024,2014,5,2,4,Health Care,Major Pharmaceuticals,male,male,Yes,No,No,Dec,0 - 100,1951 - 2000,0.0429,-0.0456,-0.0667,0.0104,201555.8,9.0,8.63,9.84,9.75,847504,8.81,8.4,8.67,8.59,58523,12567,17250,71935,1
1.29,7891430.52,15.8813,,-24.8,,,24.0,,,48,,11,11,2003,-2.089845135,-0.576616153,0.427353022,1.016380571,2014,8,6,2,Health Care,Major Pharmaceuticals,male,male,No,,,Dec,0 - 100,2001 - 2010,0.0,0.1317,-0.0167,0.0247,45290.4,60.0,60.0,62.48,61.0,174646,60.1,60.8,65.55,67.9,27613,5935,12344,5914,0
1.3,3.40903121E7,17.3445,58.38,-21.47,-0.3678,4.63,587.0,99454.86,0.58,49,49,1,1,2001,-1.4493832,-1.426316075,-1.541969022,-2.194920479,2002,9,25,2,Miscellaneous,Industrial Machinery/Components,unknown,unknown,No,No,No,Dec,501 - 1000,2001 - 2010,0.0,0.0,1.4286,0.1905,96.0,1.05,1.05,1.25,1.05,480,1.05,1.05,1.05,1.05,0,0,0,0,1
1.31,5.90155E7,17.8933,57.46,6.33,0.1102,0.49,142.0,404647.89,1.03,50,50,11,11,1995,1.225201792,1.540200042,1.322553739,1.716583787,2006,4,18,1,Finance,Real Estate,unknown,unknown,No,No,No,Sep,101 - 500,1951 - 2000,0.0,1.84,1.8,0.0,5479.8,0.5,0.5,0.5,0.5,16299,0.5,0.5,0.5,1.42,0,0,0,11100,1
1.3234,2.210172358E7,16.9112,392073.0,-7.28,0.0,,7.0,5.601042857143E10,0.0,55,67,0,0,1998,1.612872064,2.109216542,1.034936576,1.288651075,1998,11,6,4,Capital Goods,Biotechnology: Laboratory Analytical Instruments,male,male,Yes,No,No,Mar,0 - 100,1951 - 2000,0.0,0.0,0.0,0.0,2.4,400.0,400.0,400.0,400.0,8,400.0,400.0,400.0,400.0,0,2,0,2,0
1.36,6.715411536E7,18.0225,225.44,-91.36,-0.4053,0.08,200.0,1127200.0,0.3,52,52,1,1,2009,1.386860509,-0.002323686,-0.345374733,0.150754602,2010,7,23,4,Energy,Oil & Gas Production,male,male,No,No,No,Dec,101 - 500,2001 - 2010,0.0148,0.0209,-0.077,0.0057,1808.4,17.69,17.4325,17.6985,17.6,2166,18.2,18.2,18.155,18.06,1860,1696,200,3120,1
1.37,1.816547664E7,16.715,518506.0,-8.4,0.0,,,,0.0,,50,15,15,1987,-1.015037967,-1.629988683,-1.618405423,-2.206888556,2002,10,10,3,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),male,male,No,No,No,Jun,,1951 - 2000,0.0,0.0,0.0,0.0,136.0,29.75,29.75,29.75,29.75,680,29.75,29.75,29.75,29.75,0,0,0,0,0
1.37,2.955867201E7,17.2019,27.03,-453477.0,-16776.8036,,76.0,355657.89,1.09,54,54,2,2,1995,-0.236973776,-0.367543819,0.30183224,1.030347865,1997,11,14,4,Consumer Durables,Consumer Specialties,female,female,Yes,No,No,Dec,0 - 100,1951 - 2000,0.0172,0.0085,-0.0678,0.0518,407005.2,11.238,11.048,11.81,11.238,1334549,11.143,11.238,11.191,11.334,135187,241499,204354,119437,0
1.41,2.72523954E7,17.1207,,,,,,,,57,,2,2,2010,1.772494273,1.821863968,2.131169696,1.279133508,2012,2,9,3,Miscellaneous,Multi-Sector Companies,unknown,,,No,,,,2001 - 2010,0.0,0.0,0.1386,0.0,3.8,26.26,26.26,26.26,26.26,19,26.26,26.26,26.26,26.26,0,0,0,0,0
1.41,3.555269598E7,17.3865,81.5,-5.64,-0.0692,,893.0,91265.4,0.44,54,,3,3,2006,1.156849641,0.467057454,-0.258946561,-1.026456657,2009,4,6,0,Consumer Durables,Specialty Chemicals,unknown,unknown,No,sameYear,,Mar,501 - 1000,2001 - 2010,0.0,0.0,0.0,0.0,50.0,0.3,0.3,0.3,0.3,250,0.3,0.3,0.3,0.3,0,0,0,0,1
1.45,1.499617695E7,16.5233,1.84,-10.8,-5.8696,0.33,14.0,131428.57,8.15,70,27,4,4,2005,0.754113156,1.220537785,1.228086963,1.560699174,2009,12,16,2,Consumer Non-Durables,Apparel,female,male,Yes,No,No,Jan,0 - 100,2001 - 2010,0.1,0.0,0.0,0.1,100.0,2.2,2.0,2.2,2.0,500,2.2,2.2,2.2,2.2,0,0,0,0,1
1.47,6286960.68,15.654,11.23,-9.33,-0.8308,,33.0,340303.03,0.56,53,53,18,18,1996,0.739169921,0.781057347,1.134118102,1.536063041,2014,2,13,3,Health Care,Medical/Dental Instruments,unknown,unknown,Yes,No,No,Dec,0 - 100,1951 - 2000,0.017,0.256,0.3729,0.0642,2780.6,970.2,954.0,1170.0,1108.8,10898,1022.4,1022.4,1042.2,1218.6,891,0,772,1342,0
1.48,9.911965816E7,18.4118,105.95,-125.21,-1.1818,0.95,164.0,646036.59,0.94,64,58,,-15,2015,-2.5206119,-3.070789036,-2.57263677,-1.225299533,2000,10,11,2,Health Care,Major Pharmaceuticals,male,male,No,No,No,Dec,101 - 500,2011 - present,0.0295,-0.0164,0.2213,0.0529,1595420.0,15.25,14.813,15.813,15.03,6714400,15.0,15.0,15.063,15.0,891400,172400,93800,105100,0
1.5,2.23437975E7,16.9221,27.46,-9.45,-0.3441,0.03,148.0,185540.54,0.81,56,56,4,4,1996,0.764271233,-0.47370578,0.28829906,0.753384923,2000,3,10,4,Technology,Computer Software: Prepackaged Software,male,male,Yes,No,No,Mar,101 - 500,1951 - 2000,0.5028,-0.2777,-0.4866,0.6432,98707.0,2824.38,1879.38,3088.76,1880.0,382205,2557.5,2607.5,2380.0,2040.0,39905,20605,26195,24625,0
1.51,7.931375415E7,18.1889,226.91,-6.1,-0.0269,,589.0,385246.18,0.35,49,49,1,1,1998,1.601164752,2.352507596,2.312974309,2.03984391,1999,11,18,3,Public Utilities,Telecommunications Equipment,male,male,Yes,No,No,Dec,501 - 1000,1951 - 2000,0.0273,0.0177,-0.0619,0.0909,3234719.8,14.125,13.75,16.0,14.75,10634500,14.063,14.375,14.813,14.375,2522800,906100,1601800,508399,0
1.51,9.18733377E7,18.3359,78.12,-53.58,-0.6859,,350.0,223200.0,1.18,51,51,11,11,2004,-1.193694432,-1.319514391,-0.152431385,0.6370873,2015,7,1,2,Health Care,Industrial Specialties,male,male,Yes,No,No,Dec,101 - 500,2001 - 2010,0.0882,0.1574,0.1616,0.1311,2257462.2,19.25,17.69,20.42,18.1,5811895,23.5,23.5,24.06,22.28,3299113,0,1405399,770904,0
1.5501,1.859724259E7,16.7385,,-7.47,,,12.0,,,57,57,10,10,1996,0.075817965,0.850043632,1.06706802,1.565840159,2006,3,28,1,Health Care,Major Pharmaceuticals,male,male,Yes,sameYear,sameYear,Dec,0 - 100,1951 - 2000,0.0,-0.0125,-0.125,0.0,199.4,672.0,672.0,714.0,714.0,19,657.72,657.72,670.4208,663.6,88,0,147,743,0
1.7,3.61497163E7,17.4032,,-20.98,,,14.0,,,57,57,0,0,2013,-1.681744013,-0.53049158,0.311343661,1.044223357,2013,8,28,2,Health Care,Major Pharmaceuticals,male,male,Yes,No,No,Dec,0 - 100,2011 - present,1.0,0.0,0.0,0.0,60.0,20.0,10.0,20.0,20.0,300,20.0,20.0,20.0,20.0,0,0,0,0,0
1.73,7.051508199E7,18.0713,18.19,858605.0,47202.0341,0.78,96.0,189479.17,3.88,43,41,13,13,1993,1.806718168,1.806541689,1.546652774,1.587615876,2006,9,18,0,Technology,Computer Software: Prepackaged Software,unknown,unknown,No,No,No,Dec,0 - 100,1951 - 2000,0.0,0.0,-0.8,0.0,190.0,6.0,6.0,6.0,6.0,250,6.0,8.0,8.0,6.0,0,600,0,100,1
1.81,2.659857807E7,17.0964,26.65,5.93,0.2225,,87.0,306321.84,1.0,38,,4,4,2012,0.954029179,1.703332408,2.241215649,1.755078737,2016,12,27,1,Capital Goods,Metal Fabrications,unknown,,No,,,Dec,0 - 100,2011 - present,0.0086,-0.1538,-0.2859,0.0034,11675.4,5.85,5.8001,7.02,7.0,12457,5.68,5.4,4.95,4.95,17818,17610,10492,0,0
1.82,8.95197758E7,18.31,62.47,2.63,0.0421,,597.0,104639.87,1.43,52,52,3,3,1996,0.839300863,1.363729297,1.643025755,1.82248763,1999,5,11,1,Consumer Services,Newspapers/Magazines,male,male,Yes,No,No,Dec,501 - 1000,1951 - 2000,0.0169,-0.3114,-0.4688,0.1737,4112199.8,60.0,59.0,71.25,61.0,13560600,53.75,51.125,46.0625,41.313,3072200,1375300,1013099,1539800,0
1.83,9.599115123E7,18.3798,,-42.02,,,57.0,,,48,48,12,12,2003,1.39955559,1.177511352,1.251935111,1.334267195,2015,7,16,3,Health Care,Major Pharmaceuticals,male,male,No,Yes,Yes,Dec,0 - 100,2001 - 2010,0.0807,-0.0256,-0.1899,0.1779,1946915.4,30.8,28.5,33.75,28.68,7681005,30.0,30.05,29.8,30.01,1077760,371884,315389,288539,0
1.91,1.242408396E7,16.3351,,-7.54,,,13.0,,,,,5,5,1997,-1.353795569,-0.941301259,-1.414486306,-2.10182529,2002,9,5,3,Health Care,Major Pharmaceuticals,male,male,No,No,No,Jun,0 - 100,1951 - 2000,0.0273,-0.0044,-0.0708,0.1135,953.0,67.8,66.0,73.494,66.0,2716,69.0,68.7,68.7,67.5,16,950,950,133,0
1.94,1.026244286E7,16.144,3.21,-15.42,-4.8037,,43.0,74651.16,3.2,60,65,14,14,2001,-0.776032461,0.094899947,0.721216317,1.190266797,2015,5,5,1,Health Care,Medical Specialities,male,male,Yes,sameYear,sameYear,Dec,0 - 100,2001 - 2010,0.0613,-0.1443,-0.0928,0.035,7344.2,121.25,114.25,135.75,131.75,27807,116.25,116.25,110.0,103.75,5428,781,1325,1380,0
2.0,6684786.0,15.7153,,-16.02,,,12.0,,,71,,2,2,2012,-3.612448606,-0.179197965,0.661777887,1.159053656,2014,7,31,3,Health Care,Major Pharmaceuticals,male,,No,Yes,,Dec,0 - 100,2011 - present,0.0169,-0.1119,0.1655,0.0121,85827.0,42.0,41.3,55.0,54.5,320699,34.5,36.2,36.5,37.3,71824,17814,13318,5480,0
2.04,1.778378364E7,16.6938,,,,,,,,51,,2,2,2011,0.659219721,1.024126809,1.293847885,1.379080136,2013,10,11,4,Health Care,Major Pharmaceuticals,male,,,No,,,,2011 - present,0.0,0.0,0.0,0.0,9.0,6.6,6.6,6.6,6.6,45,6.6,6.6,6.6,6.6,0,0,0,0,1
2.08,3.40349464E7,17.3429,54.51,-23.44,-0.43,,2000.0,27255.0,0.62,51,51,30,30,1987,-2.047967277,0.154102919,0.92067713,1.249851407,2017,8,11,4,Consumer Services,Other Consumer Services,female,female,Yes,Yes,Yes,Dec,1001 - 5000,1951 - 2000,0.1659,-0.132,-0.1866,0.0721,864755.4,4.85,4.16,5.85,5.55,3619826,4.35,4.52,4.41,4.21,160810,292741,155329,95071,0
2.11,5.295525025E7,17.785,275.01,9.58,0.0348,0.2,2318.0,118641.07,0.19,,,4,4,1995,-1.293477881,-1.960062597,-2.076123407,-0.201610843,1999,10,19,1,Technology,"Computer Software: Programming, Data Processing",male,,No,No,,Mar,1001 - 5000,1951 - 2000,0.1833,0.1268,0.6691,0.3855,2642020.0,35.5,30.0,47.064,35.5,6362600,49.94,45.0,40.125,40.0,3850900,1528300,950000,518300,1
2.15,3.051874819E8,19.5364,154.68,-75.51,-0.4882,,,,1.97,69,69,2,2,1995,0.835516761,1.102165753,1.098844288,1.55788407,1997,9,30,1,Consumer Services,Marine Transportation,unknown,unknown,No,Yes,Yes,Dec,,1951 - 2000,0.0417,-0.02,-0.0433,0.0,13538.6,18.585,17.8416,18.585,18.585,22699,18.4611,18.585,18.3372,18.2133,33595,5044,5347,1008,0
2.1501,1.232778541E7,16.3274,23.84,-20.59,-0.8637,0.25,3.0,7946666.67,0.52,50,50,1,1,2013,-1.039260281,0.456307134,0.942331554,1.384432474,2014,3,27,3,Finance,Property-Casualty Insurers,male,male,No,Yes,Yes,Dec,0 - 100,2011 - present,0.1667,-0.0292,-0.0719,0.1909,70223.4,7.7,6.6,8.02,6.76,224062,7.65,7.5,7.5,7.475,68849,26101,16400,15705,0
2.18,9725734.28,16.0903,36.0,-5.04,-0.14,,188.0,191489.36,0.27,68,44,7,7,1991,1.848868186,1.471639751,1.915881155,2.257962815,1998,4,22,2,Technology,Radio And Television Broadcasting And Communications Equipment,male,male,Yes,No,No,Sep,101 - 500,1951 - 2000,0.25,-0.2267,-0.28,0.1167,25004.0,46.875,37.5,51.25,46.875,54840,40.63,39.07,36.25,36.25,30000,9300,26500,4380,0
2.21,1.498507583E8,18.8252,320.97,-9.58,-0.0298,0.1,619.0,518529.89,0.47,38,,6,6,2007,-1.388227633,0.693586986,1.216487218,1.718021145,2013,6,6,3,Consumer Services,Catalog/Specialty Distribution,unknown,unknown,No,Yes,No,Dec,501 - 1000,2001 - 2010,0.0469,0.2076,0.1671,0.138,2640385.8,11.61,11.09,12.69,11.16,8845755,12.53,14.59,14.3,14.02,1323580,1294826,943577,794191,0
2.25,3.4669737E7,17.3614,76.04,-3.11,-0.0409,0.35,250.0,304160.0,0.46,65,,1,1,2010,-2.352475859,-3.732391468,-4.886873864,-1.573256595,2011,8,10,2,Finance,Business Services,female,female,Yes,No,,Dec,101 - 500,2001 - 2010,0.0,0.0,0.0174,0.0,69840.0,5.75,5.75,5.75,5.75,349100,5.75,5.75,5.75,5.75,0,100,0,0,1
2.25,6.726897675E7,18.0242,13.86,-10.14,-0.7316,,37.0,374594.59,4.85,60,50,14,14,2000,-3.002387143,-1.2257156,0.146437725,0.887084774,2014,10,1,2,Health Care,Major Pharmaceuticals,male,male,No,Yes,sameYear,Dec,0 - 100,1951 - 2000,0.0,0.1214,0.1624,0.0205,269273.0,5.85,5.85,6.13,6.01,1242273,5.85,6.1,6.05,6.56,24035,21489,18642,39926,1
2.3099,1.156153689E7,16.2632,19.57,-27.86,-1.4236,0.07,60.0,326166.67,0.59,59,59,1,1,1997,1.116115513,1.301451527,1.395077728,1.67055949,1998,12,18,4,Health Care,Medical/Dental Instruments,male,male,Yes,No,No,Dec,0 - 100,1951 - 2000,0.0,0.9149,1.6596,0.0,58.4,20.5625,20.5625,20.5625,20.5625,18,20.5625,20.5625,20.5625,39.375,0,0,0,274,1
2.3462,6.884289018E7,18.0473,,,,,,,,,,18,18,1979,1.373241549,1.622890859,1.963039633,2.2164871,1997,8,1,4,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,male,,,No,,,,1951 - 2000,0.0303,0.0,-0.1765,0.0909,435680.0,8.5,8.25,9.25,8.5,1801600,8.125,8.125,8.5,8.5,140700,80200,38500,117400,0
2.35,5610996.3,15.5402,45.05,-9.77,-0.2169,,322.0,139906.83,0.12,54,,,-1,2002,-0.049360948,-0.859479049,-0.488812356,-1.070767402,2001,7,13,4,Basic Industries,Engineering & Construction,unknown,,No,No,,Jun,101 - 500,2001 - 2010,,0.0,0.0,,0.0,22.2,,,22.08,,22.2,22.2,22.2,22.2,,,,,0
2.42,1.756674854E7,16.6815,60.8,9.73,0.16,,118.0,515254.24,0.29,43,39,3,3,2002,0.51096029,-0.612410372,-0.792604859,0.546793179,2005,5,6,4,,,unknown,unknown,No,Yes,No,Dec,101 - 500,2001 - 2010,0.0386,0.0294,0.1619,0.0088,129170.2,76.6,73.75,82.0,81.35,468939,78.7,78.25,79.6,78.85,87124,15081,12607,62100,1
2.44,9.2970588E7,18.3478,927.45,-34.61,-0.0373,,4914.0,188736.26,0.1,44,41,2,2,2006,-0.489223495,-1.469624934,-1.934383931,-2.15547467,2008,1,29,1,Technology,Semiconductors,unknown,unknown,No,Yes,No,Dec,1001 - 5000,2001 - 2010,0.0342,0.0508,-0.1363,8.0E-4,375860.6,64.95,62.8,68.65,68.6,1313230,65.2,62.55,64.5,68.25,97018,45721,116659,306675,0
2.47,4.238977197E7,17.5624,14000.0,-17.0,-0.0012,,24.0,5.8333333333E8,0.0,50,50,1,1,2014,-0.567290209,-0.804704239,0.347458527,0.941553421,2015,1,29,3,Health Care,Medical/Dental Instruments,male,male,No,sameYear,sameYear,Dec,0 - 100,2011 - present,0.0382,-0.2221,-0.1411,0.0089,603448.4,8.0275,7.732,9.1799,9.111,1347751,6.4319,6.6879,6.4614,6.2447,1517822,85169,40437,26063,0
2.5,5574022.5,15.5336,,,,,,,,71,,1,1,1996,-1.315697452,0.659311528,0.856147234,0.856147234,1997,3,14,4,Consumer Durables,Diversified Electronic Products,unknown,,,Yes,,,,1951 - 2000,0.1154,-0.0343,0.0343,0.0383,77575.0,12.1715,10.912,12.5895,12.1715,300200,12.5895,12.4905,12.5895,11.7535,11793,45863,22038,7981,1
2.59,6.300256178E9,22.5639,149280.0,9630.0,0.0645,0.01,,,0.04,,,20,20,1980,-1.851092838,-0.752172941,-0.151134421,0.569216565,2000,9,19,1,Technology,Semiconductors,,male,No,,No,Dec,,1951 - 2000,0.0822,-0.009,-0.2947,0.0528,5582777.2,11.61,10.7282,11.663,11.0962,12985328,12.3355,12.3355,11.663,11.5054,5131952,4295640,2992031,2508935,0
2.63,7.491791174E7,18.1319,83.28,-12.59,-0.1512,,333.0,250090.09,0.9,65,65,12,12,1989,1.233503581,0.616264212,-0.215987347,-0.955474866,2001,5,4,4,Consumer Non-Durables,Electronic Components,male,male,Yes,No,No,Dec,101 - 500,1951 - 2000,0.0714,0.0667,3.2667,0.0,253.8,11.25,10.5,11.25,11.25,466,9.0,12.0,13.5,12.0,33,693,64,13,1
2.67,5.000619504E7,17.7277,60.12,-1.53,-0.0254,,1776.0,33851.35,0.83,49,49,3,3,1997,0.49712668,1.040341342,0.966582276,1.285185291,2000,7,19,2,Technology,EDP Services,male,male,Yes,No,No,Dec,1001 - 5000,1951 - 2000,0.2794,0.0728,-0.2184,0.5368,924206.4,97.875,76.5,117.564,76.5,3790433,106.875,98.625,99.0,105.0,465200,168833,96266,100300,0
