company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
F5 Networks Inc,Washington,FFIV,Nasdaq,-3.3,0.0,9.4,1999-04-07,9.464,10.0,30.0,IT,0
SBA Communications Corp,Florida,SBAC,Nasdaq,-3.7,210.7,231.8,1999-04-19,8.112,9.0,79.415001,Communications,0
United Therapeutics Corp,Maryland,UTHR,Nasdaq,0.0,0.7,17.8,1999-04-16,8.852,12.0,54.0,Chemical,0
Team Financial Inc,Kansas,TFIN,Nasdaq,0.0,19.0,434.7,1999-04-13,10.111,11.25,11.25,Finance,0
Implant Sciences Corp,Massachusetts,IMX,American,0.0,0.6,3.0,1998-09-29,3.942,7.5,7.5,Machinery,0
Financial Institutions Inc,New York,FISI,Nasdaq,0.0,13.4,990.5,1999-04-23,9.329,14.0,18.666662,Finance,0
PrivateBancorp Inc,Illinois,PVTB,Nasdaq,0.0,0.0,439.1,1999-04-27,11.026,18.0,16.2,Finance,0
Packeteer Inc,California,PKTR,Nasdaq,0.0,0.0,12.2,1999-05-21,8.522,15.0,60.0,IT,0
Fairchild Semiconductor International Inc,Maine,FCS,New York,0.0,717.2,598.2,1999-05-14,6.658,18.5,370.0,Machinery,0
Alliance Resource Partners LP,Oklahoma,ARLP,Nasdaq,0.0,230.0,261.7,1999-05-20,8.576,19.0,147.25,Mining,0
QuickLogic Corp,California,QUIK,Nasdaq,0.0,0.1,19.3,1997-06-09,8.304,10.0,66.67,Machinery,0
Collectors Universe Inc,California,CLCT,Nasdaq,0.0,0.0,15.7,1999-09-02,9.916,6.0,24.0,Consulting,0
SonicWALL Inc,California,SNWL,Nasdaq,0.0,0.0,15.4,1999-08-27,8.9,14.0,56.0,IT,0
Tier Technologies Inc,Virginia,TIER,Nasdaq,6.0,1.7,85.7,1999-09-17,9.435,15.0,75.0,IT,0
NATCO Group Inc,Texas,NTG,New York,11.2,2.3,106.2,1998-03-30,7.928,10.0,75.0,Oil,0
Selectica Inc,California,SLTCD,Nasdaq,0.0,0.0,27.1,1999-12-10,8.087,30.0,120.0,IT,0
Allos Therapeutics Inc,Colorado,,Nasdaq,0.0,0.1,93.0,2000-01-26,8.111,18.0,90.0,Chemical,0
GoAmerica Inc,New Jersey,GOAM,Nasdaq,0.0,0.0,28.8,2000-01-18,7.875,16.0,160.0,Communications,0
Pixelworks Inc,California,PXLW,Nasdaq,0.0,0.0,44.6,2000-02-25,8.089,10.0,57.5,Machinery,0
Community Health Systems Inc,Tennessee,CYH,New York,0.0,1296.4,1937.7,2000-03-06,0.379,13.0,243.75,Health,0
"Pacific Mercantile Bancorp, Costa Mesa,California",California,PMBC,Nasdaq,0.0,0.0,119.2,2000-03-28,10.781,8.0,20.0,Finance,0
Dendreon Corp,Washington,DNDN,Nasdaq,0.0,2.3,19.0,2000-03-08,10.333,10.0,45.0,Chemical,0
Charles River Laboratories International Inc,Massachusetts,CRL,New York,0.0,393.4,301.0,2000-04-25,7.582,16.0,224.0,Chemical,0
Arena Pharmaceuticals Inc,California,ARNA,Nasdaq,0.0,1.1,36.0,2000-04-28,7.966,18.0,108.0,Chemical,0
Lantronix Inc,California,LTRX,Nasdaq,0.0,0.1,20.4,2000-05-19,9.905,10.0,60.0,Energy,0
TeleCommunication Systems Inc,Maryland,TSYS,Nasdaq,0.0,1.3,91.2,2000-04-25,8.415,17.0,79.9,IT,0
AtheroGenics Inc,Georgia,AGIX,Nasdaq,0.0,0.1,12.2,2000-02-25,9.536,8.0,48.0,Chemical,0
American Medical Systems Holdings Inc,Minnesota,AMMD,Nasdaq,0.0,40.0,176.9,2000-05-19,8.265,11.0,68.75,Health,0
Dyax Corp,Massachusetts,DYAX,Nasdaq,0.0,1.7,30.5,2000-05-19,8.598,15.0,58.779135,Chemical,0
PECO II Inc,Ohio,PIII,Nasdaq,0.0,5.0,78.0,2000-05-22,8.391,15.0,75.0,Machinery,0
EDEN Bioscience Corp,Washington,EDEN,Nasdaq,0.0,0.3,11.7,2000-07-07,7.275,15.0,87.0,Chemical,0
DURECT Corp,California,DRRX,Nasdaq,0.0,0.9,45.3,2000-04-20,8.299,12.0,84.0,Chemical,0
Hydril Co LP,Texas,HYDL,Nasdaq,0.0,61.5,205.1,2000-06-09,7.958,17.0,127.5,Oil,0
Evergreen Solar Inc,Massachusetts,ESLR,Nasdaq,0.0,0.0,56.9,2000-08-04,9.5,14.0,42.0,Machinery,0
Adolor Corp,Pennsylvania,ADLR,Nasdaq,-10.4,0.2,90.3,2000-02-08,8.766,15.0,90.0,Agriculture,0
Beacon Power Corp,Massachusetts,BCON,Nasdaq,0.0,0.1,24.2,2000-08-09,9.13,6.0,48.0,Engineering,0
Peet's Coffee & Tea Inc,California,PEET,Nasdaq,4.2,1.4,47.4,2000-10-13,12.939,8.0,26.4,Food,0
Investors Capital Holdings Ltd,Massachusetts,ICH,American,0.0,0.0,5.1,2000-08-14,20.0,8.0,8.0,Finance,0
Seattle Genetics Inc,Washington,SGEN,Nasdaq,-7.7,0.0,76.7,2000-11-20,9.653,7.0,49.0,Agriculture,0
Encore Acquisition Co,Texas,EAC,New York,45.3,52.1,343.8,2000-10-06,8.379,14.0,100.1,Oil,0
Alliance Data Systems Corp,Texas,ADS,New York,0.0,204.5,1304.8,2000-01-13,8.717,12.0,156.0,Consulting,0
The Princeton Review Inc,Massachusetts,REVU,Nasdaq,0.0,5.6,61.6,2000-08-15,11.882,11.0,59.4,Services,0
Natus Medical Inc,California,BABY,Nasdaq,0.0,0.0,12.3,2000-08-18,10.545,11.0,55.0,Energy,0
MedCath Corp,North Carolina,MDTH,Nasdaq,0.0,210.7,453.8,2001-05-04,7.109,25.0,150.0,Health,0
Inergy LP,Missouri,NRGY,Nasdaq,0.0,43.7,146.8,2001-03-14,13.423,22.0,35.2,Retail,0
Omnicell Inc,California,OMCL,Nasdaq,0.0,0.0,52.0,2001-03-14,10.313,7.0,42.0,IT,0
Penn Virginia Resource Partners LP,Pennsylvania,PVR,New York,0.0,43.4,188.7,2001-07-19,9.231,21.0,136.5,Mining,0
Northwest Biotherapeutics Inc,Maryland,NWBO,Nasdaq,0.0,0.1,9.3,2001-08-13,13.5,5.0,20.0,Agriculture,0
Synaptics Inc,California,SYNA,Nasdaq,0.0,1.9,33.1,2001-02-22,9.53,11.0,55.0,IT,0
ZymoGenetics Inc,Washington,ZGEN,Nasdaq,-31.6,0.0,326.1,2001-09-10,9.135,12.0,107.28,Agriculture,0
Sunoco Logistics Partners LP,Pennsylvania,SXL,New York,78.7,252.3,949.4,2001-10-19,11.813,20.25,101.25,Oil,0
ManTech International Corp,Virginia,MANT,Nasdaq,36.1,26.1,238.1,2001-11-23,8.649,16.0,115.2,IT,0
Asbury Automotive Group Inc,Georgia,ABG,New York,158.3,429.7,1461.0,2001-07-27,10.179,16.5,127.05,Services,0
Regal Entertainment Group,Tennessee,RGC,New York,0.0,710.8,2239.9,2002-03-11,7.615,19.0,342.0,Media,0
Kirkland's Inc,Tennessee,KIRK,Nasdaq,0.0,12.2,90.3,2002-04-23,8.467,15.0,90.0,Retail,0
Dick's Sporting Goods Inc,Pennsylvania,DKS,New York,69.4,102.0,377.8,2002-07-17,7.002,12.0,87.47178,Retail,0
Wynn Resorts Ltd,Nevada,WYNN,Nasdaq,0.0,382.2,578.8,2002-06-17,4.377,13.0,449.995,Services,0
Portfolio Recovery Associates Inc,Virginia,PRAA,Nasdaq,0.0,0.9,65.5,2002-09-06,8.183,13.0,50.7,Finance,0
Crosstex Energy LP,Texas,XTEX,Nasdaq,4.4,47.5,168.4,2002-08-07,12.435,20.0,40.0,Oil,0
Maguire Properties Inc,California,MPG,New York,0.0,1031.4,675.9,2002-11-12,8.76,19.0,693.69,Finance,0
Molina Healthcare Inc,California,MOH,New York,0.0,0.0,244.1,2002-12-30,9.033,17.5,115.5,Health,0
Texas Capital Bancshares Inc,Texas,TCBI,Nasdaq,8.8,20.0,2003.2,2002-08-09,7.642,11.0,66.0,Finance,0
Ashford Hospitality Trust Inc,Texas,AHT,New York,0.0,16.5,92.7,2003-05-15,8.358,9.0,202.5,Finance,0
National Financial Partners Corp,New York,NFP,New York,51.7,0.0,595.4,2003-05-09,8.4,23.0,208.540494,Finance,0
SigmaTel Inc,Texas,SGTL,Nasdaq,0.0,0.1,29.1,2003-07-03,8.007,15.0,150.0,Machinery,0
AMIS Holdings Inc,Idaho,AMIS,Nasdaq,0.0,253.8,475.6,2003-08-15,6.333,20.0,600.0,Machinery,0
Journal Communications Inc,Wisconsin,JRN,New York,150.0,0.0,742.9,2003-05-14,8.075,15.0,258.75,Media,0
RedEnvelope Inc,California,REDE,Nasdaq,-4.5,0.0,48.8,2003-06-13,9.896,14.0,30.8,Retail,0
LKQ Corp,Illinois,LKQ,Nasdaq,0.0,2.4,174.7,2003-07-28,8.66,13.0,91.0,Machinery,0
First Potomac Realty Trust,Maryland,FPO,New York,0.0,126.5,126.0,2003-07-18,8.778,15.0,112.5,Finance,0
Quality Distribution Inc,Florida,QLTY,Nasdaq,63.5,272.8,379.1,2003-08-29,8.643,17.0,119.0,Transport,0
Tessera Technologies Inc,California,TSRA,Nasdaq,0.0,0.0,31.6,2003-09-04,9.051,13.0,97.5,Machinery,0
Whiting Petroleum Corp,Colorado,WLL,New York,0.0,188.0,502.5,2003-07-25,7.383,15.5,232.5,Oil,0
Buffalo Wild Wings Inc,Minnesota,BWLD,Nasdaq,13.4,0.0,54.3,2003-09-11,8.765,17.0,51.0,Restaurant,0
American Equity Investment Life Holding Co,Iowa,AEL,New York,0.0,148.3,6580.3,2003-09-15,7.902,9.0,168.3,Finance,0
Knology Inc,Georgia,KNOL,Nasdaq,121.8,270.3,417.6,2003-10-01,10.575,9.0,54.0,IT,0
Crosstex Energy Inc,Texas,XTXI,Nasdaq,45.4,62.7,375.8,2003-10-30,9.362,19.5,44.967,Oil,0
The Bank Holdings,Nevada,TBHS,Nasdaq,0.0,0.0,166.1,2003-12-17,9.256,11.0,14.85,Finance,0
Dynavax Technologies Corp,California,DVAX,Nasdaq,0.0,0.0,91.5,2003-10-24,9.979,7.5,45.0,Chemical,0
TNS Inc,Virginia,TNS,New York,57.0,67.0,342.9,2003-11-03,10.017,18.0,79.56,Consulting,0
Hornbeck Offshore Services Inc,Louisiana,HOS,New York,54.2,172.8,365.2,2003-09-19,8.381,13.0,78.0,Transport,0
Memory Pharmaceuticals Corp,New Jersey,MEMY,Nasdaq,-26.3,2.4,37.7,2003-12-23,11.969,7.0,35.0,Agriculture,0
Corcept Therapeutics Inc,California,CORT,Nasdaq,-9.5,0.0,10.5,2004-02-10,9.037,12.0,54.0,Chemical,0
ProCentury Corp,Ohio,PROS,Nasdaq,0.0,25.0,347.1,2003-12-18,8.07,10.5,93.45,Finance,0
SiRF Technology Holdings Inc,California,SIRF,Nasdaq,0.0,2.4,93.5,2004-02-10,8.449,12.0,132.0,Machinery,0
Greenhill & Co Inc,New York,GHL,New York,86.9,0.0,39.3,2004-03-11,11.472,17.5,87.5,Finance,0
NuVasive Inc,California,NUVA,Nasdaq,0.0,0.0,20.8,2004-03-05,9.245,11.0,71.5,Health,0
Blue Nile Inc,Washington,NILE,Nasdaq,0.0,0.0,38.6,2004-03-11,9.268,20.5,76.67,IT,0
Acadia Pharmaceuticals Inc,California,ACAD,Nasdaq,-15.2,0.9,27.4,2004-02-27,10.714,7.0,35.0,Chemical,0
Republic Airways Holdings Inc,Indiana,RJET,Nasdaq,0.0,482.4,678.4,2002-03-11,10.344,13.0,65.0,Transport,0
Alnylam Pharmaceuticals Inc,Massachusetts,ALNY,Nasdaq,0.0,5.7,39.3,2004-02-27,12.507,6.0,30.0,Agriculture,0
CB Richard Ellis Group Inc,California,CBG,New York,121.9,752.4,1893.9,2004-02-17,6.5,19.0,456.0,Finance,0
Jackson Hewitt Tax Service Inc,New Jersey,JTX,New York,72.4,175.0,582.0,2004-03-15,6.284,17.0,637.5,Finance,0
Senomyx Inc,California,SNMX,Nasdaq,-17.2,0.0,18.7,2004-03-29,10.669,6.0,36.0,Chemical,0
Color Kinetics Inc,Massachusetts,CLRK,Nasdaq,0.1,0.0,67.0,2004-04-09,11.313,10.0,40.0,Machinery,0
Salesforce.com Inc,California,CRM,New York,0.0,1.0,94.7,2003-12-18,10.162,11.0,110.0,IT,0
Holly Energy Partners LP,Texas,HEP,New York,0.0,25.0,154.7,2004-03-15,8.533,22.25,135.725,Oil,0
NetLogic Microsystems Inc,California,NETL,Nasdaq,0.0,0.0,39.1,2004-04-16,10.975,12.0,69.3,Machinery,0
Idenix Pharmaceuticals Inc,Massachusetts,IDIX,Nasdaq,0.0,0.0,76.8,2003-12-15,9.309,14.0,81.2,Chemical,0
Bucyrus International Inc,Wisconsin,BUCY,Nasdaq,36.1,98.8,345.5,2004-04-08,8.348,18.0,193.5,Machinery,0
Lumera Corp,Washington,LMRA,Nasdaq,0.0,0.0,39.8,2004-05-19,8.751,6.95,41.7,Chemical,0
NeuroMetrix Inc,Massachusetts,NURO,Nasdaq,0.0,0.0,18.4,2004-05-13,12.797,8.0,24.0,Health,0
Auxilium Pharmaceuticals Inc,Pennsylvania,AUXL,Nasdaq,0.0,0.3,35.3,2004-04-21,11.218,7.5,41.25,Chemical,0
MannKind Corp,California,MNKD,Nasdaq,0.0,0.0,112.2,2004-04-30,8.961,14.0,87.5,Chemical,0
EnerSys Inc,Pennsylvania,ENS,New York,0.0,362.6,1129.2,2004-05-17,10.2,12.5,156.25,Energy,0
Commercial Vehicle Group Inc,Ohio,CVGI,Nasdaq,0.0,71.3,210.8,2004-05-21,8.246,13.0,120.25,Machinery,0
BioMed Realty Trust Inc,California,BMR,New York,0.0,54.5,53.2,2004-05-05,7.864,15.0,405.0,Finance,0
WPT Enterprises Inc,California,WPTE,Nasdaq,0.0,0.0,2.5,2004-04-15,9.582,8.0,32.0,Media,0
Extra Space Storage Inc,Utah,EXR,New York,0.0,391.6,584.5,2004-05-12,8.041,12.5,252.5,Finance,0
Cohen & Steers Inc,New York,CNS,New York,0.0,1.7,44.0,2004-03-30,11.103,13.0,97.5,Finance,0
Google Inc,California,GOOG,Nasdaq,571.4,0.1,1328.0,2004-04-29,3.055,85.0,1666.42942,IT,0
StoneMor Partners LP,Pennsylvania,STON,Nasdaq,0.0,80.0,480.7,2004-04-09,17.947,20.5,75.3375,Services,0
PeopleSupport Inc,California,PSPT,Nasdaq,0.0,0.0,33.2,2004-05-10,12.968,7.0,47.727274,IT,0
Texas Roadhouse Inc,Kentucky,TXRH,Nasdaq,49.2,13.5,175.5,2004-05-07,7.818,17.5,159.39714,Restaurant,0
Thomas Properties Group Inc,California,TPGI,Nasdaq,0.0,295.9,330.0,2004-04-16,10.325,12.0,171.428568,Finance,0
Huron Consulting Group Inc,Illinois,HURN,Nasdaq,0.0,0.0,52.9,2004-05-12,11.151,15.5,77.5,Consulting,0
Sunstone Hotel Investors Inc,California,SHO,New York,96.9,667.5,1359.6,2004-07-02,7.511,17.0,358.7,Services,0
U-Store-It Trust,Ohio,YSI,New York,0.0,378.2,536.4,2004-08-02,7.989,16.0,400.0,Finance,0
Digital Realty Trust Inc,California,DLR,New York,0.0,503.8,822.2,2004-08-02,10.451,12.0,240.0,Finance,0
US Shipping Partners LP,New Jersey,,New York,0.0,98.1,253.5,2004-08-12,8.644,22.25,133.5,Transport,0
MarketAxess Holdings Inc,New York,MKTX,Nasdaq,17.6,0.0,72.3,2004-02-11,13.482,11.0,55.0,Finance,0
Copano Energy LLC,Texas,CPNO,Nasdaq,0.0,57.0,139.9,2004-07-30,7.783,20.0,100.0,Oil,0
Nalco Holding Co,Illinois,NLC,New York,373.3,3424.8,5828.1,2004-08-26,5.891,15.0,666.66666,Transport,0
Ormat Technologies Inc,Nevada,ORA,New York,85.2,517.6,774.0,2004-07-20,9.902,15.0,93.75,Energy,0
Specialty Underwriters Alliance Inc,Illinois,SUAI,Nasdaq,0.0,0.0,2.9,2004-07-28,8.203,9.5,120.65,Finance,0
Orange 21 Inc,California,ORNG,Nasdaq,3.5,0.2,26.4,2004-09-15,9.464,8.75,30.45,Retail,0
Comstock Homebuilding Cos Inc,Virginia,CHCI,Nasdaq,0.0,45.7,117.8,2004-08-13,10.72,16.0,63.36,Services,0
Spirit Finance Corp,Arizona,SFC,New York,0.0,178.4,527.8,2004-10-19,7.768,11.0,286.956527,Finance,0
Arbinet-thexchange Inc,Virginia,ARBX,Nasdaq,13.8,1.7,70.1,2004-07-09,8.521,17.5,114.3695875,IT,0
Warren Resources Inc,New York,WRES,Nasdaq,-0.6,32.4,154.8,2004-08-25,8.22,7.5,71.25,Oil,0
Celanese Corp,Texas,CE,New York,412.0,3300.0,7368.0,2004-11-03,5.375,16.0,800.0,Chemical,0
Education Realty Trust Inc,Tennessee,EDR,New York,8.7,288.2,88.9,2004-09-24,7.795,16.0,304.0,Finance,0
W&T Offshore Inc,Texas,WTI,New York,396.4,0.0,760.8,2004-05-03,7.54,19.0,240.449997,Oil,0
Icagen Inc,North Carolina,ICGN,Nasdaq,-15.3,0.7,76.3,2004-04-08,13.483,8.0,40.0,Chemical,0
Threshold Pharmaceuticals Inc,California,THLD,Nasdaq,-23.4,0.3,32.2,2004-04-09,10.272,7.0,37.333331,Agriculture,0
Syniverse Holdings Inc,Florida,SVR,New York,118.7,394.3,777.2,2004-11-12,7.101,16.0,281.92,IT,0
Odimo Inc,Florida,ODMO,Nasdaq,-9.1,0.0,57.9,2004-07-16,16.778,9.0,28.125,IT,0
Veri-Tek International Corp,Michigan,VCC,American,-3.5,0.0,9.9,2004-09-03,10.478,6.0,15.0,Machinery,0
BofI Holding Inc,California,BOFI,Nasdaq,0.0,126.7,512.6,2004-12-16,10.046,11.5,35.100001,Finance,0
Morningstar Inc,Illinois,MORN,Nasdaq,0.0,0.0,190.7,2004-05-06,3.775,18.5,140.83125,Finance,0
DiamondRock Hospitality Co,Maryland,DRH,New York,0.0,159.3,431.8,2005-03-01,7.657,10.5,273.9135,Finance,0
LHC Group Inc,Louisiana,LHCG,Nasdaq,24.4,1.4,56.4,2004-11-24,10.604,14.0,67.2,Health,0
Premium Standard Farms Inc,Missouri,PORK,Nasdaq,187.8,137.7,737.0,2005-03-11,8.068,12.5,123.03075,Machinery,0
Builders FirstSource Inc,Texas,BLDR,Nasdaq,0.0,365.0,709.5,2005-02-14,7.71,16.0,196.0,Timber,0
Lincoln Educational Services Corp,New Jersey,LINC,Nasdaq,0.0,10.6,153.9,2005-03-29,9.873,20.0,80.0,Services,0
Kenexa Corp,Pennsylvania,KNXA,Nasdaq,6.3,0.2,48.3,2005-04-12,11.167,12.0,60.0,IT,0
Volcom Inc,California,VLCM,Nasdaq,0.0,0.2,33.3,2005-04-29,8.562,19.0,89.0625,Clothes,0
Consolidated Communications Holdings Inc,Illinois,CNSL,Nasdaq,0.0,560.0,959.7,2004-12-08,10.5,13.0,203.666658,IT,0
ITC Holdings Corp,Michigan,ITC,New York,0.0,508.5,868.1,2005-03-29,1.865,23.0,287.5,Energy,0
Pike Electric Corp,North Carolina,PIKE,New York,64.2,286.1,592.5,2005-04-18,8.955,14.0,189.0,Energy,0
Alon USA Energy Inc,Texas,ALJ,New York,0.0,128.4,612.9,2005-05-11,8.066,16.0,163.2,Oil,0
Superior Well Services Inc,Pennsylvania,SWSI,Nasdaq,0.0,1.3,75.4,2005-05-06,8.905,13.0,73.06,Oil,0
Advanced Analogic Technologies Inc,California,AATI,Nasdaq,5.9,0.0,48.7,2005-04-04,8.477,10.0,106.0,Machinery,0
MWI Veterinary Supply Inc,Idaho,MWIV,Nasdaq,17.2,0.4,173.4,2005-04-22,9.381,17.0,73.666678,Health,0
Eschelon Telecom Inc,Minnesota,ESCH,Nasdaq,26.1,96.4,229.4,2005-05-06,9.933,14.0,75.000002,IT,0
AtriCure Inc,Ohio,ATRC,Nasdaq,0.0,1.2,12.5,2005-04-20,11.982,12.0,48.0,Health,0
Hoku Scientific Inc,Hawaii,HOKU,Nasdaq,0.0,0.0,11.4,2005-04-28,14.143,6.0,21.0,Energy,0
Coley Pharmaceutical Group Inc,Massachusetts,COLY,Nasdaq,0.0,2.8,70.7,2005-04-20,8.527,16.0,96.0,Chemical,0
"First Security Group Inc, Chattanooga,Tennessee",Tennessee,FSGI,Nasdaq,9.6,13.2,831.3,2005-06-10,8.778,10.0,45.0,Finance,0
RBC Bearings Inc,Connecticut,ROLL,Nasdaq,0.0,168.3,247.1,2005-05-11,7.924,14.5,134.676,Machinery,0
CF Industries Holdings Inc,Illinois,CF,New York,0.0,4.2,1453.9,2005-05-16,6.501,16.0,660.0,Chemical,0
Bronco Drilling Co Inc,Oklahoma,BRNC,Nasdaq,13.0,36.3,118.9,2005-06-01,7.715,17.0,86.7,Oil,0
Kona Grill Inc,Arizona,KONA,Nasdaq,1.8,3.5,23.2,2005-06-03,11.0,11.0,27.5,Restaurant,0
Enterprise GP Holdings LP,Texas,EPE,New York,0.0,4788.8,11722.3,2005-04-26,6.879,28.0,352.8,Oil,0
Ikanos Communications Inc,California,IKAN,Nasdaq,-6.5,1.2,110.9,2004-06-25,10.125,12.0,76.8,IT,0
Global Cash Access Holdings Inc,Nevada,GCA,New York,99.1,0.0,248.4,2005-03-22,7.625,14.0,224.898198,Finance,0
Sunesis Pharmaceuticals Inc,California,SNSS,Nasdaq,-23.0,1.4,31.9,2004-12-23,11.167,7.0,42.0,Chemical,0
Global Partners LP,Massachusetts,GLP,New York,0.0,162.3,377.7,2005-05-10,9.429,22.0,107.8,Oil,0
Taleo Corp,California,TLEO,Nasdaq,2.7,17.5,53.1,2004-03-31,10.625,14.0,93.8,IT,0
Avalon Pharmaceuticals Inc,Maryland,AVRX,Nasdaq,0.0,0.0,24.4,2005-05-03,12.195,10.5,28.875,Agriculture,0
American Commercial Lines LLC,Indiana,ACLI,Nasdaq,0.0,200.1,656.9,2005-07-19,8.446,21.0,173.25,Transport,0
TAL International Group Inc,New York,TAL,New York,0.0,820.2,1353.8,2005-06-30,8.468,18.0,207.0,Machinery,0
PokerTek Inc,North Carolina,PTEK,Nasdaq,0.0,0.0,2.3,2005-08-04,9.259,11.0,22.0,IT,0
Cogdell Spencer Inc,North Carolina,CSA,New York,0.0,144.9,177.6,2005-08-10,9.915,17.0,98.6,Finance,0
