CompanyName,LastSale,MarketCap,logMarketCap,Revenue_M,netIncome_M,profitMargin,lastFiscalYearGrowth,employees,revenuePerEmployee,marketCapToRevenue,CEOAge,PresidentAge,companyAgeAtIPO,yearDifference,YearFounded,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,Year,Month,Day,dayOfWeek,Sector,Industry,CEOGender,PresidentGender,USACompany,CEOInChargeDuringIPO,presidentInChargeDuringIPO,FiscalMonth,employeesGrouped,FoundingDateGrouped
Cohere,12.0,7.0E9,22.67,150.0,-120.0,-0.8,1.5,500.0,300000.0,46.67,30.0,30.0,6.0,0.0,2019.0,-1.2,-1.5,-1.0,-0.8,2026.0,9.0,15.0,1.0,Technology,Artificial Intelligence,Male,Male,No,Yes,Yes,December,100-500,2010-2020
Deel,42.0,1.26E10,23.26,700.0,50.0,0.071,0.6,4500.0,155555.56,18.0,30.0,30.0,7.0,0.0,2019.0,0.6,0.4,0.7,0.9,2026.0,9.0,1.0,1.0,Technology,Software,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Lime,10.0,3.0E9,21.82,550.0,-40.0,-0.073,0.2,1200.0,458333.33,5.45,42.0,40.0,9.0,0.0,2017.0,-1.0,-1.2,-0.8,-0.5,2026.0,7.0,1.0,2.0,Industrials,Transportation,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Discord,22.0,1.5E10,23.43,800.0,-100.0,-0.125,0.3,650.0,1230769.23,18.75,41.0,39.0,11.0,0.0,2015.0,-0.2,-0.4,-0.1,0.1,2026.0,10.0,15.0,3.0,Technology,Internet Services,Male,Male,Yes,No,No,December,500-1000,2010-2020
Bolt,16.0,8.0E9,22.8,600.0,-80.0,-0.133,0.4,4000.0,150000.0,13.33,30.0,30.0,13.0,0.0,2013.0,-0.6,-0.8,-0.5,-0.2,2026.0,6.0,1.0,0.0,Technology,Transportation,Male,Male,No,Yes,Yes,December,1000-5000,2010-2020
Motive,35.0,5.0E9,22.33,750.0,-60.0,-0.08,0.45,3500.0,214285.71,6.67,37.0,35.0,13.0,0.0,2013.0,0.4,0.3,0.6,0.7,2026.0,4.0,1.0,2.0,Technology,Software,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Crusoe Energy,14.0,5.0E9,22.33,500.0,-200.0,-0.4,2.3,800.0,625000.0,10.0,34.0,34.0,6.0,0.0,2020.0,-0.8,-1.0,-0.7,-0.3,2026.0,9.0,15.0,1.0,Energy,Energy Services,Male,Male,Yes,Yes,Yes,December,500-1000,2020-2030
Quantinuum,8.0,1.0E10,23.03,120.0,-150.0,-1.25,0.5,600.0,200000.0,83.33,55.0,50.0,5.0,0.0,2021.0,-1.5,-1.8,-1.3,-1.0,2026.0,6.0,15.0,0.0,Technology,Computer Hardware,Male,Male,Yes,Yes,Yes,December,500-1000,2020-2030
K2 Space,6.0,3.0E9,21.82,50.0,-80.0,-1.6,3.0,200.0,250000.0,60.0,38.0,36.0,4.0,0.0,2022.0,-1.8,-2.0,-1.5,-1.2,2026.0,9.0,1.0,1.0,Industrials,Aerospace,Male,Male,Yes,Yes,Yes,December,100-500,2020-2030
Forgent Power Solutions,55.0,8.8E9,22.9,753.0,65.0,0.086,0.56,2200.0,342272.73,11.69,52.0,49.0,8.0,0.0,2018.0,1.3,1.1,1.4,1.5,2026.0,4.0,10.0,4.0,Industrials,Electrical Equipment,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Medline Technologies,48.0,3.2E9,21.89,1400.0,112.0,0.08,0.22,3800.0,368421.05,2.29,52.0,49.0,12.0,0.0,2014.0,1.4,1.2,1.5,1.7,2026.0,5.0,12.0,1.0,Health Care,Medical/Dental Instruments,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
Apex Financial Group,36.0,1.8E9,21.31,820.0,58.0,0.07,0.18,2200.0,372727.27,2.2,55.0,52.0,15.0,0.0,2011.0,1.1,0.9,1.3,1.5,2026.0,6.0,20.0,4.0,Financial Services,Fintech,Male,Female,Yes,Yes,Yes,December,1000-5000,2010-2020
NovaBio Therapeutics,28.0,9.5E8,20.67,380.0,19.0,0.05,0.35,1400.0,271428.57,2.5,48.0,46.0,8.0,0.0,2018.0,1.5,1.4,1.7,1.9,2026.0,4.0,8.0,2.0,Health Care,Major Pharmaceuticals,Male,Male,Yes,Yes,Yes,September,1000-5000,2010-2020
TerraGrid Energy,42.0,2.4E9,21.6,960.0,134.0,0.14,0.28,2800.0,342857.14,2.5,50.0,47.0,10.0,0.0,2016.0,1.6,1.3,1.8,2.0,2026.0,7.0,15.0,3.0,Energy,Energy Services,Male,Male,Yes,Yes,Yes,December,1000-5000,2010-2020
CloudVault Software,55.0,4.5E9,22.23,1200.0,96.0,0.08,0.42,3200.0,375000.0,3.75,44.0,42.0,9.0,0.0,2017.0,1.3,1.1,1.5,1.8,2026.0,8.0,5.0,2.0,Technology,Software,Male,Female,Yes,Yes,Yes,January,1000-5000,2010-2020
