company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
Adamas Pharmaceuticals Inc.,California,ADMS,Nasdaq,0.0,0.0,20.2,2014-04-10,11.2,16.0,48.0,Health
Adaptimmune Therapeutics Plc,California,ADAP,Nasdaq,12.8,488.0,500.8,2015-05-06,10.8,17.0,191.3,Health
Adecoagro SA,Kentucky,AGRO,New York,26.0,0.0,26.0,2011-01-28,13.6,11.0,314.3,Food
Adesto Technologies Corp,California,IOTS,Nasdaq,88.4,40.2,128.7,2015-10-27,9.8,5.0,25.0,IT
Adolor Corp,Pennsylvania,ADLR,Nasdaq,0.0,0.2,90.3,2000-02-08,8.8,15.0,90.0,Agriculture
Adomani Inc.,California,ADOM,Nasdaq,3.2,66.5,73.8,2017-06-15,8.6,5.0,14.3,Retail
Aduro Biotech Inc.,California,ADRO,Nasdaq,0.0,0.4,45.3,2015-04-15,14.0,17.0,119.0,Health
Advanced Analogic Technologies Inc,California,AATI,Nasdaq,5.9,0.0,48.7,2005-04-04,8.5,10.0,106.0,Machinery
Advanced Disposal Services Inc.,Florida,ADSW,New York,0.0,49.0,617.4,2016-10-06,7.3,18.0,346.5,Machinery
Advanced Drainage Systems Inc.,Ohio,WMS,New York,69.0,2.7,455.8,2014-07-25,1.8,16.0,232.0,Retail
Aeglea Biotherapeutics Inc.,Texas,AGLE,Nasdaq,0.0,0.0,19.0,2016-04-07,8.9,10.0,50.0,Health
Aerie Pharmaceuticals Inc.,North Carolina,AERI,Nasdaq,0.0,3.8,17.7,2013-10-25,10.6,10.0,67.2,Health
Aerohive Networks Inc.,California,HIVE,New York,0.0,0.4,50.1,2014-03-28,8.0,10.0,75.0,IT
Affimed NV,Louisiana,AFMD,Nasdaq,5.5,0.0,128.5,2014-09-12,3.4,7.0,56.0,Health
Ag Mortgage Investment Trust Inc.,New York,MITT,New York,19.6,1313.0,2699.0,2011-06-30,6.3,20.0,110.0,Finance
Agile Therapeutics Inc.,New Jersey,AGRX,Nasdaq,0.0,21.7,2014.0,2014-05-23,9.6,6.0,55.0,Health
Agios Pharmaceuticals Inc,Massachusetts,AGIO,Nasdaq,0.0,0.0,108.5,2013-06-10,8.0,18.0,106.0,Chemical
Aimmune Therapeutics Inc.,California,AIMT,Nasdaq,1.6,219.6,221.2,2015-08-06,11.0,16.0,160.0,Health
Air Lease Corp,California,AL,New York,0.0,1348.5,2781.5,2011-01-14,5.9,26.5,802.5,Machinery
Airgain Inc.,California,AIRG,Nasdaq,0.0,1.8,44.4,2016-08-12,7.7,8.0,12.0,IT
Airvana Inc,Massachusetts,AIRV,Nasdaq,0.0,0.0,283.5,2007-04-19,12.2,7.0,58.1,IT
Akcea Therapeutics Inc.,Massachusetts,AKCA,Nasdaq,0.0,0.0,63.8,2017-07-14,8.1,8.0,125.0,Health
Akebia Therapeutics Inc.,Massachusetts,AKBA,Nasdaq,0.0,5.9,18.9,2014-03-20,0.4,17.0,100.0,Health
Akers Biosciences Inc.,New Jersey,AKER,Nasdaq,0.0,2354.2,4083.5,2014-01-23,11.6,5.5,15.0,Health
AlarmCom Holdings Inc.,Virginia,ALRM,Nasdaq,121.4,116.8,238.3,2015-06-26,10.6,14.0,98.0,IT
Alder Biopharmaceuticals Inc.,Washington,ALDR,Nasdaq,0.0,0.0,276.3,2014-05-08,10.6,10.0,80.0,Health
Alexza Pharmaceuticals Inc,California,ALXA,Nasdaq,0.0,5.7,86.1,2005-12-22,11.3,8.0,44.0,Chemical
Alibaba Group Holding Ltd,Maine,BABA,New York,14.4,0.2,36.8,2014-09-19,11.7,68.0,21767.2,Retail
Alimera Sciences Inc.,Georgia,ALIM,Nasdaq,0.0,1.7,533.5,2010-04-22,9.5,11.0,72.1,Health
Allegiance Bancshares Inc.,Texas,ABTX,Nasdaq,0.0,0.0,734.4,2015-10-08,8.6,21.0,54.6,Finance
Allegiant Travel Co,Nevada,ALGT,Nasdaq,24.0,57.9,189.8,2006-05-15,8.4,18.0,90.0,Transport
Allena Pharmaceuticals Inc.,Massachusetts,ALNA,Nasdaq,6.1,19.4,25.6,2017-11-02,9.4,14.0,74.7,Health
Alliance Data Systems Corp,Texas,ADS,New York,0.0,204.5,1304.8,2000-01-13,8.7,12.0,156.0,Consulting
Alliance Resource Partners LP,Oklahoma,ARLP,Nasdaq,0.0,230.0,261.7,1999-05-20,8.6,19.0,147.3,Mining
Allison Transmission Holdings Inc.,Indiana,ALSN,New York,76.3,14.8,222.8,2012-03-15,8.1,23.0,600.3,Retail
Ally Financial Inc,Michigan,ALLY,New York,5396.0,60915.0,146534.0,2010-08-03,1.0,25.0,2375.0,Finance
Alnylam Pharmaceuticals Inc,Massachusetts,ALNY,Nasdaq,0.0,5.7,39.3,2004-02-27,12.5,6.0,30.0,Agriculture
Alon USA Energy Inc,Texas,ALJ,New York,0.0,128.4,612.9,2005-05-11,8.1,16.0,163.2,Oil
Alpha & Omega Semiconductor Ltd,California,AOSL,Nasdaq,0.0,0.0,303.0,2010-04-29,13.7,18.0,91.5,IT
Alphatec Holdings Inc,California,ATEC,Nasdaq,0.0,3.3,115.7,2006-02-06,14.6,9.0,83.7,Health
Altair Engineering Inc.,Michigan,ALTR,Nasdaq,13.8,0.1,217.0,2017-11-01,9.3,13.0,156.0,IT
Alteryx Inc.,California,AYX,New York,0.0,24.1,59.0,2017-03-24,8.1,14.0,126.0,IT
Altice Usa Inc.,New York,ATUS,New York,13.9,349.3,363.2,2017-06-22,9.3,30.0,1918.3,Communications
Ambarella Inc.,California,AMBA,Nasdaq,453.4,24.3,477.7,2012-10-10,8.7,6.0,36.0,IT
Amber Road Inc.,New Jersey,AMBR,New York,0.0,4.3,459.1,2014-03-21,9.4,13.0,96.1,IT
Amc Entertainment Holdings Inc.,Kansas,AMC,New York,4.6,75.5,83.9,2013-12-18,8.5,18.0,331.6,Retail
Ameresco Inc.,Massachusetts,AMRC,New York,0.0,0.6,90.1,2010-07-22,10.2,10.0,87.0,Machinery
Ameri Holdings Inc.,Georgia,AMRH,Nasdaq,0.0,6.6,35.6,2017-11-17,10.3,4.1,6.1,IT
American Assets Trust Inc.,California,AAT,New York,11.0,368.1,23943.5,2011-01-13,5.9,20.5,563.8,Finance
American Commercial Lines LLC,Indiana,ACLI,Nasdaq,0.0,200.1,656.9,2005-07-19,8.4,21.0,173.3,Transport
American Dental Partners Inc,Massachusetts,ADPI,Nasdaq,0.0,8.0,58.4,1997-11-12,10.9,15.0,33.2,Health
American Equity Investment Life Holding Co,Iowa,AEL,New York,0.0,148.3,6580.3,2003-09-15,7.9,9.0,168.3,Finance
American Homes 4 Rent,California,AMH,New York,0.0,0.0,26607.2,2013-08-01,3.8,16.0,705.9,Finance
American Medical Systems Holdings Inc,Minnesota,AMMD,Nasdaq,0.0,40.0,176.9,2000-05-19,8.3,11.0,68.8,Health
American Midstream Partners Lp,Texas,AMID,New York,724.5,21.1,745.6,2011-07-27,8.0,21.0,78.8,Oil
American Realty Capital Trust Inc.,Pennsylvania,ARCT,Nasdaq,0.0,0.1,779.0,2012-03-01,8.3,6.0,39.6,Finance
American Renal Associates Holdings Inc.,Massachusetts,ARA,New York,0.0,0.0,23.4,2016-04-21,10.7,22.0,165.0,Health
American Water Works Co Inc,New Jersey,AWK,New York,0.0,4696.3,12268.0,2007-08-27,3.2,21.5,1247.0,Transport
Amphastar Pharmaceuticals Inc.,California,AMPH,Nasdaq,0.0,0.0,3.3,2014-06-25,8.4,7.0,56.0,Health
Amyris Inc.,California,AMRS,Nasdaq,1020.5,4.3,1024.8,2010-09-28,9.9,16.0,84.8,Chemical
Anaptysbio Inc.,California,ANAB,Nasdaq,0.0,0.4,3.0,2017-01-26,9.9,15.0,75.0,Health
Andatee China Marine Fuel Services Corp,New Jersey,AMCF,Nasdaq,33.3,60.2,93.5,2010-01-26,8.9,6.3,19.8,Oil
Angie'S List Inc.,Indiana,ANGI,Nasdaq,0.0,33.8,50.2,2011-11-17,7.9,13.0,114.3,IT
Antero Midstream Partners Lp,Colorado,AM,New York,0.0,156.6,156.6,2014-11-05,9.8,25.0,1000.0,Oil
Antero Resources Corp,Colorado,AR,New York,741.9,2079.0,5672.2,2013-05-06,4.2,44.0,1571.9,Oil
Apellis Pharmaceuticals Inc.,Kentucky,APLS,Nasdaq,0.0,0.0,47.7,2017-11-09,9.2,14.0,150.0,Health
Apollo Global Management Llc,New York,APO,New York,0.0,553.5,553.5,2011-03-30,7.4,19.0,565.4,Finance
Appfolio Inc.,California,APPF,Nasdaq,0.0,10.9,96.7,2015-06-26,6.1,12.0,74.4,IT
Appian Corp,Virginia,APPN,Nasdaq,0.0,0.0,59.4,2017-05-25,8.0,12.0,75.0,IT
Applied Genetic Technologies Corp,Florida,AGTC,Nasdaq,0.0,1384.4,1384.4,2014-03-27,11.7,12.0,50.0,Health
Applied Optoelectronics Inc,Texas,AAOI,Nasdaq,2.7,14.6,72.0,2013-08-13,12.6,10.0,36.0,Machinery
Aqua Metals Inc.,Nevada,AQMS,Nasdaq,0.0,127.0,750.2,2015-07-31,14.7,5.0,33.0,Machinery
Aquantia Corp,California,AQ,New York,444.8,7.5,452.3,2017-11-03,6.1,9.0,61.4,IT
Aquaventure Holdings Ltd,Oregon,WAAS,New York,0.0,306.8,306.8,2016-10-06,8.0,18.0,117.0,Energy
Aquinox Pharmaceuticals Inc.,Pennsylvania,AQXP,Nasdaq,0.0,0.0,1713.2,2014-03-07,11.6,11.0,46.2,Health
Aramark,Pennsylvania,ARMK,New York,289.4,307.8,597.2,2013-12-12,11.9,20.0,725.0,Retail
Aratana Therapeutics Inc.,Kansas,PETX,Nasdaq,0.0,0.0,8.0,2013-06-27,11.5,6.0,34.5,Health
Arbinet-thexchange Inc,Virginia,ARBX,Nasdaq,13.8,1.7,70.1,2004-07-09,8.5,17.5,114.4,IT
Arcadia Biosciences Inc.,Connecticut,RKDA,Nasdaq,954.2,0.3,954.4,2015-05-15,13.8,8.0,65.6,Chemical
Arcos Dorados Holdings Inc.,Maine,ARCO,New York,22.2,55.6,83.9,2011-04-14,8.2,17.0,1249.2,Retail
Ardagh Group SA,Connecticut,ARD,New York,96.6,273.3,369.9,2017-03-15,9.3,19.0,307.8,Retail
Ardelyx Inc.,California,ARDX,Nasdaq,0.0,0.0,160.8,2014-06-19,10.1,14.0,60.0,Health
Ardmore Shipping Corp,Michigan,ASC,New York,0.0,162.7,162.7,2013-08-01,8.1,14.0,140.0,Machinery
Arena Pharmaceuticals Inc,California,ARNA,Nasdaq,0.0,1.1,36.0,2000-04-28,8.0,18.0,108.0,Chemical
Ares Management Corp,California,ARES,New York,0.0,55.1,21271.1,2014-05-02,10.0,19.0,215.9,Finance
Argenx Se,Nebraska,ARGX,Nasdaq,0.0,18.7,3785.6,2017-05-18,8.4,17.0,99.7,Health
Arista Networks Inc.,California,ANET,New York,56.0,0.2,172.4,2014-06-06,10.8,43.0,225.8,IT
Armada Hoffler Properties Inc.,Virginia,AHH,New York,0.0,62.8,1082.2,2013-05-08,14.3,11.5,190.0,Finance
Artisan Partners Asset Management Inc.,Wisconsin,APAM,New York,0.0,1269.3,1269.3,2013-03-07,10.9,30.0,331.6,Finance
Aruba Networks Inc,California,ARUN,Nasdaq,0.0,0.0,56.7,2006-12-15,9.3,11.0,88.0,IT
Asbury Automotive Group Inc,Georgia,ABG,New York,158.3,429.7,1461.0,2001-07-27,10.2,16.5,127.1,Services
Ascendis Pharma A/S,Hawaii,ASND,Nasdaq,0.0,5.6,921.5,2015-01-28,9.7,18.0,108.0,Health
Ascent Solar Technologies Inc,Colorado,ASTI,Nasdaq,0.0,0.0,1.2,2006-01-23,15.2,5.5,16.5,Machinery
Ashford Hospitality Trust Inc,Texas,AHT,New York,0.0,16.5,92.7,2003-05-15,8.4,9.0,202.5,Finance
Aspen Aerogels Inc.,Massachusetts,ASPN,New York,0.0,204.0,204.0,2014-06-13,10.3,11.0,82.5,Chemical
Asv Holdings Inc.,Minnesota,ASV,Nasdaq,0.0,0.0,122.9,2017-05-12,7.6,7.0,26.6,Machinery
Atara Biotherapeutics Inc.,California,ATRA,Nasdaq,0.0,1668.1,1687.8,2014-10-16,4.2,11.0,55.0,Health
Atento SA,Pennsylvania,ATTO,New York,6.5,1.4,151.7,2014-10-02,7.2,15.0,150.0,Machinery
Athenex Inc.,New York,ATNX,Nasdaq,71.8,0.0,71.8,2017-06-14,8.5,11.0,66.0,Health
AtheroGenics Inc,Georgia,AGIX,Nasdaq,0.0,0.1,12.2,2000-02-25,9.5,8.0,48.0,Chemical
Athlon Energy Inc,Texas,ATHL,New York,145.4,500.0,1024.2,2013-04-30,6.2,20.0,315.8,Oil
Atkore International Group Inc.,Illinois,ATKR,New York,0.0,2.5,1532.8,2016-06-10,7.0,16.0,192.0,Machinery
Atlas Financial Holdings Inc.,Illinois,AFH,Nasdaq,2452.9,1053.0,23961.9,2013-02-12,2.1,5.9,24.1,Finance
Atlassian Corp Plc,California,TEAM,Nasdaq,0.0,0.0,40.0,2015-12-10,12.1,21.0,462.0,IT
Atossa Genetics Inc.,Washington,ATOS,Nasdaq,1.8,904.5,906.3,2012-11-08,6.3,5.0,4.0,Health
AtriCure Inc,Ohio,ATRC,Nasdaq,0.0,1.2,12.5,2005-04-20,12.0,12.0,48.0,Health
Atyr Pharma Inc.,California,LIFE,Nasdaq,0.0,6.9,20.0,2015-05-07,8.6,14.0,75.0,Health
Audentes Therapeutics Inc.,California,BOLD,Nasdaq,0.0,2.9,12.7,2016-07-20,10.1,15.0,75.0,Health
Auris Medical Holding Ltd,California,EARS,Nasdaq,0.0,0.0,53.1,2014-08-06,12.0,6.0,56.4,Health
Autohome Inc.,Minnesota,ATHM,New York,0.0,0.0,9.4,2013-12-11,7.2,17.0,132.9,IT
Auxilium Pharmaceuticals Inc,Pennsylvania,AUXL,Nasdaq,0.0,0.3,35.3,2004-04-21,11.2,7.5,41.3,Chemical
Avalon Pharmaceuticals Inc,Maryland,AVRX,Nasdaq,0.0,0.0,24.4,2005-05-03,12.2,10.5,28.9,Agriculture
Aventine Renewable Energy Holdings Inc,Illinois,AVR,New York,0.0,160.0,238.0,2006-03-30,5.6,43.0,389.5,Chemical
Avenue Therapeutics Inc.,New York,ATXI,Nasdaq,0.0,0.0,119.0,2017-06-27,8.6,6.0,33.0,Health
Aveo Pharmaceuticals Inc.,Massachusetts,AVEO,Nasdaq,0.0,413.6,415.2,2010-03-12,9.3,9.0,81.0,Health
Avianca Holdings SA,Michigan,AVH,New York,0.0,5.6,41.4,2013-11-06,8.7,15.0,408.5,Machinery
Avinger Inc,California,AVGR,Nasdaq,0.0,25.8,24.8,2014-12-30,12.5,13.0,65.0,Health
Axalta Coating Systems Ltd,Pennsylvania,AXTA,New York,8.2,120.4,128.6,2014-11-12,10.8,19.5,975.0,Chemical
Axogen Inc,Florida,AXGN,Nasdaq,0.0,24.3,15.7,2013-05-14,9.8,3.0,18.0,Agriculture
Axsome Therapeutics Inc.,New York,AXSM,Nasdaq,0.0,10.1,45.8,2015-11-19,12.6,9.0,51.0,Health
Azure Power Global Ltd,Massachusetts,AZRE,New York,57.4,0.0,57.4,2016-10-12,14.0,18.0,61.4,Energy
Azurrx Biopharma Inc.,New York,AZRX,Nasdaq,18.9,0.0,18.9,2016-10-11,7.5,5.5,5.3,Health
BCB Bancorp Inc,New Jersey,BCBP,Nasdaq,7.8,54.1,398.1,2005-09-09,9.4,15.3,16.8,Finance
Bank Of NT Butterfield & Son Ltd,Oregon,NTB,New York,3719.9,2165.3,12395.9,2016-09-16,8.9,23.5,250.0,Finance
BankUnited Inc,Florida,BKU,New York,375.5,2250.5,10869.6,2010-08-13,5.6,27.0,783.0,Finance
Bankrate Inc,Florida,RATE,New York,38.7,0.0,260.3,2011-04-15,20.1,15.0,300.0,Consulting
Bankwell Financial Group Inc.,Connecticut,BWFG,Nasdaq,0.0,0.0,425.3,2014-05-15,7.5,18.0,48.6,Finance
Baozun Inc.,Georgia,BZUN,Nasdaq,97.5,1114.5,1212.0,2015-05-21,7.9,10.0,110.0,Retail
Bare Escentuals Inc,California,BARE,Nasdaq,103.3,690.0,119.8,2006-06-30,7.5,22.0,352.0,Chemical
Basic Energy Services Inc,Texas,BAS,New York,0.0,119.2,426.6,2005-08-12,7.1,20.0,250.0,Oil
Beacon Power Corp,Massachusetts,BCON,Nasdaq,0.0,0.1,24.2,2000-08-09,9.1,6.0,48.0,Engineering
Beigene Ltd,Idaho,BGNE,Nasdaq,0.0,52.6,687.9,2016-02-03,10.7,24.0,158.4,Health
Bellerophon Therapeutics Inc.,New Jersey,BLPH,Nasdaq,481.2,1574.5,2055.7,2015-02-13,11.2,12.0,60.0,Health
Bellicum Pharmaceuticals Inc.,Texas,BLCM,Nasdaq,23.9,7.4,488.9,2014-12-18,17.9,19.0,139.7,Health
Benefitfocus Inc,South Carolina,BNFT,Nasdaq,0.0,15.3,54.8,2013-03-20,8.3,26.5,130.8,IT
Benitec Biopharma Ltd/Adr,New York,BNTC,Nasdaq,0.0,1.3,631.1,2015-08-18,15.8,9.2,13.8,Health
Berry Global Group Inc.,Indiana,BERY,New York,359.4,43.0,402.4,2012-10-04,7.7,16.0,470.6,Retail
Beyondspring Inc.,New York,BYSI,Nasdaq,0.0,0.0,31.4,2017-03-09,16.6,20.0,3.5,Health
Bg Medicine Inc.,Massachusetts,BGMD,Nasdaq,0.0,246.3,2004.8,2011-02-04,6.6,7.0,35.0,Health
BioAmber Inc,Minnesota,BIOA,New York,0.0,0.3,49.3,2011-11-10,10.1,10.0,80.0,Chemical
BioFuel Energy Corp,Colorado,BIOF,Nasdaq,0.0,55.0,141.9,2006-12-08,12.2,10.5,55.1,Chemical
BioMed Realty Trust Inc,California,BMR,New York,0.0,54.5,53.2,2004-05-05,7.9,15.0,405.0,Finance
BioMimetic Therapeutics Inc,Tennessee,BMTI,Nasdaq,0.0,0.0,47.7,2006-02-10,14.9,8.0,36.8,Health
Biocept Inc.,California,BIOC,Nasdaq,0.0,0.0,25.1,2014-02-05,11.6,10.0,19.0,Health
Biohaven Pharmaceutical Holding Co Ltd,Connecticut,BHVN,New York,0.0,37.5,37.5,2017-05-04,0.3,17.0,168.3,Health
Biondvax Pharmaceuticals Ltd,Idaho,BVXV,Nasdaq,0.0,24.8,24.8,2015-05-12,8.1,5.0,9.6,Health
Black Stone Minerals LP,Texas,BSM,New York,95.0,1170.4,1265.4,2015-05-01,7.0,19.0,427.5,Oil
Blackline Inc.,California,BL,Nasdaq,6.5,7.0,2838.8,2016-10-28,11.7,17.0,146.2,IT
Blackstone Group LP,New York,BX,New York,0.0,86.5,39365.5,2007-03-22,5.3,31.0,4133.3,Finance
Bloomin' Brands Inc.,Florida,BLMN,Nasdaq,0.0,98.4,396.2,2012-08-08,12.1,11.0,176.0,Retail
Blue Apron Holdings Inc.,New York,APRN,New York,35.9,39.8,3839.5,2017-06-29,12.2,10.0,300.0,Retail
Blue Capital Reinsurance Holdings Ltd,Pennsylvania,BCRH,New York,0.0,14.8,48207.2,2013-11-06,12.5,20.0,125.0,Finance
Blue Nile Inc,Washington,NILE,Nasdaq,0.0,0.0,38.6,2004-03-11,9.3,20.5,76.7,IT
Bluebird Bio Inc.,Massachusetts,BLUE,Nasdaq,0.0,0.4,122.6,2013-06-19,13.1,17.0,101.0,Health
Bluegreen Vacations Corp,Florida,BXG,New York,197.2,571.8,1172.3,2017-10-23,7.4,14.0,91.0,Finance
Blueprint Medicines Corp,Massachusetts,BPMC,Nasdaq,0.0,553.6,1453.9,2015-04-30,13.2,18.0,146.6,Health
Bluerock Residential Growth Reit Inc.,New York,BRG,American,0.0,14.2,660.5,2014-03-28,7.2,14.5,50.0,Finance
Boardwalk Pipeline Partners LP,Texas,BWP,New York,236.9,1101.3,2438.4,2005-08-16,6.8,19.5,292.5,Oil
BofI Holding Inc,California,BOFI,Nasdaq,0.0,126.7,512.6,2004-12-16,10.0,11.5,35.1,Finance
Boingo Wireless Inc.,California,WIFI,Nasdaq,29.2,0.0,1163.8,2011-05-04,8.6,13.5,77.9,Communications
Boise Cascade Co,Idaho,BBC,New York,100.8,250.0,836.4,2012-11-15,6.6,21.0,247.1,Timber
Boise Cascade Co,Idaho,BCC,New York,0.0,0.0,12.9,2013-02-06,14.5,21.0,247.1,Chemical
Bonanza Creek Energy Inc.,Colorado,BCEI,New York,171.8,143.8,1676.8,2011-12-15,5.9,17.0,170.0,Oil
Boot Barn Holdings Inc.,California,BOOT,New York,73.4,1499.9,1573.3,2014-10-30,5.9,16.0,80.0,Retail
Bottomline Technologies Inc,New Hampshire,EPAY,Nasdaq,3.7,0.0,11.3,1998-11-13,9.8,13.0,44.2,IT
Box Inc.,California,BOX,New York,0.0,0.0,2697.0,2015-01-23,9.5,14.0,175.0,IT
Boxlight Corp,Georgia,BOXL,Nasdaq,40.8,0.0,40.8,2017-11-30,7.7,7.0,7.0,IT
Bp Midstream Partners Lp,Texas,BPMP,New York,0.0,19.9,764.6,2017-10-26,10.5,18.0,765.0,Oil
BreitBurn Energy Partners LP,California,BBEP,Nasdaq,0.0,2.0,366.6,2006-05-12,9.7,18.5,111.0,Oil
Bridgeline Software Inc,Massachusetts,BLSW,Nasdaq,0.0,0.1,9.4,2006-12-13,14.6,5.0,15.0,IT
Bright Horizons Family Solutions Inc.,Massachusetts,BFAM,New York,0.0,88.2,319.3,2013-01-25,10.5,22.0,222.2,Retail
Bright Scholar Education Holdings Ltd,Washington,BEDU,New York,0.0,101.7,142336.9,2017-05-18,13.3,10.5,157.5,Food
Brightcove Inc.,Massachusetts,BCOV,Nasdaq,0.0,5.8,1234.8,2012-02-17,10.3,11.0,55.0,IT
Brixmor Property Group Inc.,New York,BRX,New York,0.0,245.3,245.3,2013-10-30,13.9,20.0,825.0,Finance
Broadcom Corp,California,BRCM,Nasdaq,0.0,0.0,73.1,1998-02-05,8.4,24.0,84.0,Machinery
Bronco Drilling Co Inc,Oklahoma,BRNC,Nasdaq,13.0,36.3,118.9,2005-06-01,7.7,17.0,86.7,Oil
Brookdale Senior Living Inc,Tennessee,BKD,New York,0.0,754.2,1471.9,2005-08-09,9.3,19.0,210.4,Health
Brookfield Renewable Energy Partners LP,Idaho,BEP,New York,0.0,24.3,28.0,2013-06-11,12.2,10.0,500.0,Energy
Bucyrus International Inc,Wisconsin,BUCY,Nasdaq,36.1,98.8,345.5,2004-04-08,8.3,18.0,193.5,Machinery
Buffalo Wild Wings Inc,Minnesota,BWLD,Nasdaq,13.4,0.0,54.3,2003-09-11,8.8,17.0,51.0,Restaurant
Builders FirstSource Inc,Texas,BLDR,Nasdaq,0.0,365.0,709.5,2005-02-14,7.7,16.0,196.0,Timber
Burlington Stores Inc.,New Jersey,BURL,New York,0.0,10.8,302.6,2013-10-02,9.3,17.0,226.7,Food
Byline Bancorp Inc.,South Carolina,BY,New York,0.0,0.0,1616.5,2017-06-30,6.4,19.0,108.3,Finance
CB Richard Ellis Group Inc,California,CBG,New York,121.9,752.4,1893.9,2004-02-17,6.5,19.0,456.0,Finance
CBOE Holdings Inc,Illinois,CBOE,Nasdaq,0.0,0.0,632.5,2010-03-11,7.1,29.0,339.3,Finance
CBS Outdoor Americas Inc,New York,CBSO,New York,433.4,1598.0,3355.5,2013-06-27,4.9,28.0,560.0,Media
CF Industries Holdings Inc,Illinois,CF,New York,0.0,4.2,1453.9,2005-05-16,6.5,16.0,660.0,Chemical
CIENA Corp,Maryland,CIEN,Nasdaq,18.3,0.0,67.4,1996-12-12,7.9,23.0,112.2,IT
CPI International Inc,California,CPII,Nasdaq,0.0,246.8,445.8,2005-12-23,8.6,18.0,127.1,Energy
CUI Global Inc,Oregon,CUGI,Nasdaq,1.6,7.3,32.0,2011-10-31,19.0,4.5,10.0,Energy
CVR Energy Inc,Texas,CVI,New York,0.0,484.3,1848.6,2006-09-26,8.8,19.0,380.0,Oil
CVR Partners LP,Texas,UAN,New York,50.0,125.0,479.5,2010-12-20,6.9,16.0,307.2,Chemical
Cadence Bancorporation,Texas,CADE,New York,5827.7,52.5,269635.9,2017-04-13,7.1,20.0,150.0,Finance
Cadence Pharmaceuticals Inc,California,CADX,Nasdaq,0.0,4.7,45.1,2006-07-17,9.9,9.0,54.0,Chemical
Caesars Entertainment Corp,Nevada,CZR,Nasdaq,1642.6,19791.3,28515.6,2011-11-15,17.7,9.0,16.3,Services
Caesarstone Ltd,North Carolina,CSTE,Nasdaq,0.0,4.7,143.3,2012-03-22,16.5,11.0,73.3,Chemical
CafePress Inc,California,PRSS,Nasdaq,13.7,2.6,86.9,2011-06-10,10.3,19.0,85.5,Retail
Cal Dive International Inc,Texas,DVR,New York,0.0,181.7,405.4,2006-05-31,7.9,13.0,288.2,Oil
Calithera Biosciences Inc,California,CALA,Nasdaq,0.0,0.0,39.6,2014-08-25,10.4,10.0,80.0,Chemical
